Date,NVDA,JPM,AMZN,LLY,XOM,^GSPC
2025-02-12,130.79806518554688,267.3368225097656,228.92999267578125,862.3406982421875,102.42117309570312,6051.97021484375
2025-02-13,134.93722534179688,268.18121337890625,230.3699951171875,861.2442016601562,103.16536712646484,6115.06982421875
2025-02-14,138.48797607421875,268.4432373046875,228.67999267578125,835.427490234375,103.27030944824219,6114.6298828125
2025-02-18,139.03652954101562,271.70428466796875,226.64999389648438,848.2220458984375,105.08308410644531,6129.580078125
2025-02-19,138.86697387695312,271.0249328613281,226.6300048828125,857.9689331054688,105.23574829101562,6144.14990234375
2025-02-20,139.7446746826172,258.9416198730469,222.8800048828125,863.9754028320312,106.85769653320312,6117.52001953125
2025-02-21,134.07948303222656,256.4570007324219,216.5800018310547,864.5294799804688,105.60784149169922,6013.1298828125
2025-02-24,129.94032287597656,253.64242553710938,212.7100067138672,872.1686401367188,106.16120910644531,5983.25
2025-02-25,126.2998275756836,249.81846618652344,212.8000030517578,892.35498046875,104.69190979003906,5955.25
2025-02-26,130.93771362304688,251.1675567626953,214.35000610351562,905.4266967773438,104.4343032836914,5956.06005859375
2025-02-27,119.83672332763672,251.41986083984375,208.74000549316406,895.6796875,105.09262084960938,5861.56982421875
2025-02-28,124.59429931640625,256.85491943359375,212.27999877929688,910.98779296875,106.21843719482422,5954.5
2025-03-03,113.76260375976562,252.94366455078125,205.02000427246094,919.9825439453125,102.8123550415039,5849.72021484375
2025-03-04,115.68756866455078,242.8790740966797,203.8000030517578,901.5179443359375,102.60246276855469,5778.14990234375
2025-03-05,116.9941635131836,244.12136840820312,208.36000061035156,919.9825439453125,100.598876953125,5842.6298828125
2025-03-06,110.28170776367188,239.27833557128906,200.6999969482422,903.2001953125,102.67879486083984,5738.52001953125
2025-03-07,112.39617919921875,235.14382934570312,199.25,860.4724731445312,104.01451110839844,5770.2001953125
2025-03-10,106.70105743408203,225.38014221191406,194.5399932861328,821.069580078125,106.6668701171875,5614.56005859375
2025-03-11,108.47642517089844,222.39085388183594,196.58999633789062,815.4291381835938,104.14807891845703,5572.06982421875
2025-03-12,115.4488525390625,221.18736267089844,198.88999938964844,813.2522583007812,104.11945343017578,5599.2998046875
2025-03-13,115.28925323486328,218.5572052001953,193.88999938964844,793.2539672851562,103.68057250976562,5521.52001953125
2025-03-14,121.36392974853516,225.59364318847656,197.9499969482422,804.9599609375,106.76227569580078,5638.93994140625
2025-03-17,119.22930908203125,227.03976440429688,195.74000549316406,816.1218872070312,108.53688049316406,5675.1201171875
2025-03-18,115.13961791992188,228.0491180419922,192.82000732421875,813.8954467773438,108.4223861694336,5614.66015625
